Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0023,L-0002,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,090472 - SME Micro Centre,090472,Gross Up Elimination Actual,1.0000,,0.00
I-0024,L-0000,0.00,1.00,SACCTS - Account structure,SACCTS,MISG0521 - SBG Micro Business Deposits,MISG0521,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0024,L-0001,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,848231 - SBG Business Deposits - Consumer - Agg centre,848231,Gross Up Adjustment Actual,-1.0000,,0.00
I-0024,L-0002,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,841086 - 841086 - SME Micro Expense Centre,841086,Gross Up Elimination Actual,1.0000,,0.00
I-0025,L-0000,0.00,1.00,SACCTS - Account structure,SACCTS,MISG0531 - SBG Micro Business Lending,MISG0531,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0025,L-0001,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,848203 - SBG Bus  Lending- Consumer - Agg centre,848203,Gross Up Adjustment Actual,-1.0000,,0.00
I-0025,L-0002,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,841086 - 841086 - SME Micro Expense Centre,841086,Gross Up Elimination Actual,1.0000,,0.00
I-0026,L-0000,0.00,1.00,SOPEXP - Operating expenses,SOPEXP,MICB2585 - WBC Micro Business Lending,MICB2585,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0026,L-0001,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,076503 - Business Finance - Consumer - Agg centre,076503,Gross Up Adjustment Actual,1.0000,,0.00
I-0026,L-0002,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,090472 - SME Micro Centre,090472,Gross Up Elimination Actual,-1.0000,,0.00
I-0027,L-0000,0.00,1.00,SOPEXP - Operating expenses,SOPEXP,MICB2691 - WBC Micro Business Deposits,MICB2691,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0027,L-0001,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,077026 - Business Deposits - Consumer - Agg centre,077026,Gross Up Adjustment Actual,1.0000,,0.00
I-0027,L-0002,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,090472 - SME Micro Centre,090472,Gross Up Elimination Actual,-1.0000,,0.00
I-0028,L-0000,0.00,1.00,SOPEXP - Operating expenses,SOPEXP,MISG0521 - SBG Micro Business Deposits,MISG0521,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0028,L-0001,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,848231 - SBG Business Deposits - Consumer - Agg centre,848231,Gross Up Adjustment Actual,1.0000,,0.00
I-0028,L-0002,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,841086 - 841086 - SME Micro Expense Centre,841086,Gross Up Elimination Actual,-1.0000,,0.00
I-0029,L-0000,0.00,1.00,SOPEXP - Operating expenses,SOPEXP,MISG0531 - SBG Micro Business Lending,MISG0531,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0029,L-0001,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,848203 - SBG Bus  Lending- Consumer - Agg centre,848203,Gross Up Adjustment Actual,1.0000,,0.00
I-0029,L-0002,1.00,1.00,,,,,,SOPEXP - Operating expenses,SOPEXP,841086 - 841086 - SME Micro Expense Centre,841086,Gross Up Elimination Actual,-1.0000,,0.00
