Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Product,From Product Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Product,To Product Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-1170,L-0000,0.00,1.00,XDAEXP - Net allocated expenses,XDAEXP,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1170,L-0001,1.00,1.00,,,,,,,,XDAEXP - Net allocated expenses,XDAEXP,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1170,L-0002,1.00,1.00,,,,,,,,XDAEXP - Net allocated expenses,XDAEXP,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1171,L-0000,0.00,1.00,SIMPLO - Impairment charges on loans,SIMPLO,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1171,L-0001,1.00,1.00,,,,,,,,SIMPLO - Impairment charges on loans,SIMPLO,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1171,L-0002,1.00,1.00,,,,,,,,SIMPLO - Impairment charges on loans,SIMPLO,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1172,L-0000,0.00,1.00,ZFTEPD - Paid FTE,ZFTEPD,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1172,L-0001,1.00,1.00,,,,,,,,ZFTEPD - Paid FTE,ZFTEPD,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1172,L-0002,1.00,1.00,,,,,,,,ZFTEPD - Paid FTE,ZFTEPD,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1173,L-0000,0.00,1.00,E9ALL2 - Allocation capital -NIB,E9ALL2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1173,L-0001,1.00,1.00,,,,,,,,E9ALL2 - Allocation capital -NIB,E9ALL2,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1173,L-0002,1.00,1.00,,,,,,,,E9ALL2 - Allocation capital -NIB,E9ALL2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1174,L-0000,0.00,1.00,ALOAN1 - Loans and acceptances - IB,ALOAN1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1174,L-0001,1.00,1.00,,,,,,,,ALOAN1 - Loans and acceptances - IB,ALOAN1,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1174,L-0002,1.00,1.00,,,,,,,,ALOAN1 - Loans and acceptances - IB,ALOAN1,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1175,L-0000,0.00,1.00,ALOAN2 - Loans and acceptances -NIB,ALOAN2,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1175,L-0001,1.00,1.00,,,,,,,,ALOAN2 - Loans and acceptances -NIB,ALOAN2,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
